Node,R,G,B
C1,10,10,10
C2,133,93,85
C3,71,71,71
C4,110,96,87
C5,81,72,61
C6,111,102,85
C7,136,114,90
C8,164,143,115
C9,57,52,48
C10,102,85,69
C11,143,123,98
C12,73,61,49
C13,113,75,62
C14,89,82,72
C15,226,219,209
C16,120,98,75
C17,125,109,93
C18,127,127,127
C19,170,85,85
C20,151,113,100
C21,97,92,73
C22,60,57,48
C23,85,85,85
C24,124,95,89
C25,95,76,61
C26,60,51,42
C27,138,129,112
C28,190,171,154
C29,101,91,79
C30,70,66,63
C31,170,141,113
C32,92,85,69
C33,190,166,128
C34,136,129,119
C35,134,107,80
C36,45,41,38
C37,66,58,55
C38,134,115,100
C39,159,130,98
C40,126,120,96
C41,170,170,170
C42,127,127,63
C43,178,150,113
C44,116,100,84
C45,149,124,84
C46,114,99,60
C47,83,69,40
C48,63,64,59
C49,145,129,96
C50,118,104,75
C51,77,75,63
C52,144,109,87
C53,109,104,74
C54,77,80,59
C55,254,252,237
C56,195,174,147
C57,146,141,109
C58,173,151,102
C59,135,119,83
C60,120,94,81
C61,218,219,214
C62,225,218,190
C63,130,70,69
C64,40,40,40
C65,77,60,50
C66,96,94,82
C67,151,133,109
C68,119,110,95
C69,158,139,124
C70,101,80,75
C71,185,168,158
C72,126,116,104
C73,97,98,92
C74,128,102,103
C75,123,105,81
C76,137,99,86
C77,132,115,87
C78,164,140,102
C79,171,149,126
C80,202,184,164
C81,82,78,75
C82,127,131,108
C83,46,47,42
C84,102,76,63
C85,157,97,81
C86,133,110,78
C87,116,115,87
C88,102,84,60
C89,207,176,129
C90,136,134,118
C91,164,117,93
C92,177,155,142
C93,99,103,78
C94,159,128,123
C95,88,89,83
C96,150,118,98
C97,122,102,93
C98,107,92,71
C99,176,161,140
C100,191,191,191
C101,156,149,131
C102,90,79,63
C103,121,97,63
C104,197,191,177
C105,212,192,157
C106,105,107,94
C107,114,78,78
C108,200,178,137
C109,89,72,32
C110,215,196,178
C111,143,78,37
C112,234,229,210
C113,126,120,106
C114,64,61,46
C115,220,205,184
C116,101,69,64
C117,165,149,133
C118,151,88,79
C119,51,41,29
C120,119,123,98
C121,145,117,81
C122,178,131,105
C123,172,113,97
C124,185,175,163
C125,170,134,122
C126,126,91,77
C127,76,67,50
C128,43,36,21
C129,157,123,82
C130,218,182,145
C131,166,151,122
C132,77,85,72
C133,128,68,56
C134,178,120,79
C135,110,90,57
C136,84,62,39
C137,55,41,37
C138,69,70,54
C139,149,100,62
C140,145,132,90
C141,77,72,52
C142,90,86,61
C143,140,97,54
C144,56,37,21
C145,94,62,32
C146,175,59,34
C147,161,135,78
C148,136,108,60
C149,29,30,25
C150,104,82,43
C151,48,33,24
C152,132,121,129
C153,201,173,179
C154,35,45,60
C155,103,96,106
C156,98,76,53
C157,46,37,40
C158,63,54,39
C159,52,47,25
C160,132,89,43
C161,71,52,45
C162,133,109,97
C163,141,74,61
C164,98,50,39
C165,119,86,79
C166,57,64,57
C167,142,60,49
C168,71,82,58
C169,77,80,69
C170,135,90,69
C171,54,30,27
C172,105,75,47
C173,36,57,52
C174,89,95,72
C175,193,146,97
C176,240,228,206
C177,67,73,54
C178,144,90,61
C179,220,182,120
C180,250,250,250
C181,113,53,25
C182,157,112,71
C183,121,86,56
C184,70,51,36
C185,35,19,13
C186,174,141,98
C187,82,73,68
C188,91,58,51
C189,130,85,54
C190,185,114,87
C191,160,99,68
C192,84,58,44
C193,101,123,100
C194,75,96,78
C195,193,185,140
C196,70,120,116
C197,132,136,98
C198,102,92,61
C199,173,101,85
C200,53,55,44
C201,35,30,21
C202,146,141,121
C203,109,119,95
C204,167,132,111
C205,36,37,26
C206,56,102,76
C207,21,40,38
C208,20,66,56
C209,69,130,96
C210,18,60,76
C211,27,88,98
C212,127,0,0
C213,83,68,49
C214,149,118,89
C215,101,56,38
C216,190,148,72
C217,125,103,59
C218,85,85,0
C219,154,123,66
C220,120,118,69
C221,133,96,18
C222,54,37,9
C223,50,21,5
C224,89,65,10
C225,127,63,0
C226,169,109,81
C227,172,80,62
C228,59,66,79
C229,198,161,135
C230,85,86,70
C231,142,109,68
C232,115,82,44
C233,23,28,46
C234,193,173,121
C235,134,122,98
C236,149,137,111
C237,191,127,63
C238,79,76,45
C239,123,129,95
C240,91,106,77
C241,176,129,121
C242,102,102,51
C243,186,158,136
C244,153,102,51
C245,101,96,91
C246,118,91,62
C247,154,59,57
C248,124,109,66
C249,180,94,61
C250,77,82,85
C251,209,194,151
C252,185,145,85
C253,137,131,95
C254,165,124,62
C255,134,100,54
C256,124,110,101
C257,91,81,79
C258,191,127,127
C259,51,51,51
C260,34,39,45
C261,47,38,33
C262,26,25,23
C263,123,86,33
C264,77,42,22
C265,76,70,26
C266,159,62,35
C267,106,27,23
C268,103,116,61
C269,86,67,61
C270,60,90,60
C271,96,120,82
C272,177,161,127
C273,35,59,43
C274,140,124,109
C275,154,141,122
C276,32,43,49
C277,186,173,141
C278,110,108,67
C279,24,26,15
C280,180,138,106
C281,190,91,76
C282,40,30,28
C283,137,45,43
C284,80,46,36
C285,157,84,61
C286,192,132,96
C287,153,107,84
C288,207,181,167
C289,141,105,47
C290,144,145,97
C291,96,82,48
C292,146,91,70
C293,205,210,182
C294,170,170,85
C295,33,31,32
C296,95,64,43
C297,107,104,85
C298,125,114,92
C299,126,91,69
C300,93,65,54
C301,69,66,73
C302,60,41,43
C303,226,199,152
C304,85,42,42
C305,85,42,0
C306,133,156,125
C307,96,129,133
C308,207,145,89
C309,192,139,127
C310,155,129,114
C311,255,191,127
C312,127,99,77
C313,145,110,78
C314,194,182,156
C315,125,81,70
C316,116,68,64
C317,64,44,33
C318,127,127,85
C319,255,127,127
C320,191,191,127
C321,97,111,72
C322,71,56,35
C323,153,92,51
C324,168,126,84
C325,213,172,117
C326,92,87,83
C327,120,77,36
C328,91,50,27
C329,61,30,19
C330,137,81,56
C331,176,135,83
C332,36,22,11
C333,160,131,87
C334,161,74,65
C335,32,38,34
C336,187,154,105
C337,50,46,35
C338,89,75,66
C339,41,52,38
C340,179,62,47
C341,165,113,77
C342,24,31,31
C343,155,154,125
C344,255,170,170
C345,204,204,153
C346,191,159,127
C347,226,198,170
C348,77,50,26
C349,110,102,39
C350,113,68,38
C351,26,28,31
C352,129,96,64
C353,93,76,48
C354,156,119,35
C355,137,82,75
C356,65,60,38
C357,122,114,83
C358,110,90,79
C359,174,143,123
C360,98,98,98
C361,139,139,139
C362,162,136,133
C363,62,99,100
C364,81,137,91
C365,224,220,217
C366,87,95,84
C367,211,204,194
C368,168,158,149
C369,122,123,118
C370,58,54,25
C371,91,82,43
C372,80,55,16
C373,166,125,97
C374,149,139,127
C375,213,205,186
C376,238,220,198
C377,229,184,155
C378,112,106,98
