Source,Target,Weight
C126,C118,0.306097
C126,C96,0.219173
C126,C1,0.92189
C126,C163,0.928896
C126,C111,0.827557
C126,C23,0.867783
C126,C137,0.865388
C126,C52,0.053843
C126,C92,0.570071
C126,C136,0.913913
C126,C112,0.736266
C126,C12,0.24006
C126,C87,0.524347
C126,C149,0.874873
C126,C147,0.886295
C126,C49,0.355549
C126,C158,0.146497
C126,C83,0.749177
C126,C135,0.865388
C126,C79,0.050067
C126,C159,0.580062
C126,C121,0.899478
C126,C133,0.875784
C126,C75,0.561597
C126,C84,0.346988
C126,C154,0.278665
C126,C101,0.845751
C126,C29,0.342203
C126,C153,0.562022
C126,C117,0.853615
C126,C152,0.562022
C126,C120,0.673435
C126,C131,0.932346
C126,C14,0.339229
C126,C70,0.698183
C126,C81,0.826068
C126,C91,0.658881
C126,C27,0.832779
C126,C119,0.348128
C126,C58,0.817688
C126,C66,0.720032
C126,C80,0.079212
C126,C86,0.623627
C126,C99,0.478154
C126,C102,0.770322
C126,C148,0.893927
C126,C6,0.084232
C126,C63,0.423013
C126,C68,0.947297
C126,C132,0.918838
C126,C95,0.911875
C126,C122,0.916529
C126,C28,0.941568
C126,C76,0.852888
C126,C73,0.837014
C126,C165,0.95852
C126,C35,0.671592
C126,C150,0.665471
C126,C77,0.079212
C126,C143,0.03918
C126,C113,0.948692
C126,C109,0.827557
C126,C67,0.577069
C126,C105,0.827557
C126,C106,0.416704
C126,C114,0.878567
C126,C103,0.845751
C126,C69,0.939304
C126,C108,0.913827
C126,C55,0.555137
C126,C116,0.878567
C126,C144,0.317041
C126,C123,0.957548
C126,C88,0.396619
C126,C22,0.291048
C126,C46,0.323787
C126,C94,0.940646
C126,C128,0.502094
C126,C26,0.13651
C126,C72,0.297166
C126,C125,0.691138
C126,C115,0.842074
C126,C78,0.079212
C126,C89,0.135819
C126,C162,0.930349
C126,C93,0.921337
C126,C90,0.456333
C126,C151,0.277172
C126,C146,0.851931
C126,C39,0.681026
C126,C31,0.47558
C126,C124,0.390045
C126,C127,0.447431
C126,C110,0.827557
C126,C155,0.278665
C126,C74,0.898221
C126,C59,0.795973
C126,C97,0.280971
C126,C100,0.875609
C126,C71,0.837697
C126,C30,0.410119
C126,C107,0.827557
C126,C60,0.032609
C126,C166,0.412365
C126,C34,0.464424
C126,C134,0.939626
C126,C156,0.770772
C126,C161,0.098298
C9,C2,0.33223
C9,C85,0.633618
C9,C42,0.389866
C9,C139,0.353705
C9,C96,0.348857
C9,C7,0.374286
C9,C38,0.048684
C9,C129,0.374982
C9,C52,0.342701
C9,C12,0.087445
C9,C21,0.461435
C9,C54,0.587265
C9,C140,0.353705
C9,C157,0.634717
C9,C138,0.353705
C9,C79,0.140943
C9,C17,0.473186
C9,C13,0.713292
C9,C36,0.766706
C9,C145,0.787172
C9,C119,0.230431
C9,C142,0.772153
C9,C47,0.354009
C9,C41,0.358375
C9,C80,0.060711
C9,C104,0.590402
C9,C45,0.560381
C9,C99,0.000523
C9,C141,0.256858
C9,C57,0.360167
C9,C98,0.103886
C9,C64,0.387687
C9,C8,0.823615
C9,C48,0.608624
C9,C3,0.671756
C9,C40,0.39542
C9,C130,0.315725
C9,C77,0.060711
C9,C20,0.602098
C9,C43,0.519475
C9,C160,0.643278
C9,C143,0.39012
C9,C15,0.304986
C9,C16,0.304927
C9,C24,0.204123
C9,C5,0.503958
C9,C33,0.586627
C9,C53,0.623398
C9,C32,0.362665
C9,C37,0.263774
C9,C22,0.053617
C9,C61,0.670435
C9,C46,0.126695
C9,C164,0.728448
C9,C78,0.060711
C9,C82,0.735355
C9,C4,0.576371
C9,C151,0.089311
C9,C31,0.091944
C9,C127,0.043283
C9,C25,0.334564
C9,C62,0.719029
C9,C19,0.477603
C9,C56,0.728489
C9,C30,0.120347
C9,C60,0.518403
C9,C34,0.17599
C9,C44,0.591511
C9,C65,0.436484
C9,C11,0.64419
C2,C85,0.641238
C2,C42,0.012219
C2,C139,0.57677
C2,C7,0.607578
C2,C38,0.743453
C2,C129,0.918884
C2,C52,0.12629
C2,C112,0.060644
C2,C54,0.308386
C2,C87,0.464139
C2,C140,0.57677
C2,C157,0.719093
C2,C138,0.57677
C2,C158,0.36584
C2,C50,0.588581
C2,C79,0.178256
C2,C159,0.113143
C2,C17,0.814126
C2,C120,0.435869
C2,C13,0.658218
C2,C36,0.627557
C2,C145,0.649992
C2,C119,0.402856
C2,C58,0.013381
C2,C142,0.651443
C2,C41,0.867939
C2,C80,0.164621
C2,C45,0.75618
C2,C57,0.831339
C2,C64,0.519944
C2,C8,0.497602
C2,C3,0.66156
C2,C40,0.755313
C2,C77,0.164621
C2,C20,0.6058
C2,C51,0.653876
C2,C43,0.778852
C2,C160,0.482393
C2,C15,0.890679
C2,C16,0.672053
C2,C106,0.364184
C2,C5,0.649061
C2,C33,0.844455
C2,C53,0.63616
C2,C32,0.66601
C2,C61,0.455485
C2,C46,0.617474
C2,C26,0.548628
C2,C72,0.329959
C2,C164,0.583121
C2,C78,0.164621
C2,C82,0.4266
C2,C90,0.149923
C2,C4,0.631326
C2,C124,0.248985
C2,C25,0.914473
C2,C62,0.101344
C2,C19,0.605995
C2,C56,0.618284
C2,C30,0.190525
C2,C60,0.043024
C2,C34,0.130446
C2,C44,0.75195
C2,C11,0.181063
C2,C161,0.864545
C118,C96,0.319784
C118,C1,0.525418
C118,C163,0.330826
C118,C23,0.607464
C118,C137,0.489255
C118,C92,0.59642
C118,C136,0.539429
C118,C112,0.111561
C118,C12,0.588021
C118,C21,0.195367
C118,C149,0.453226
C118,C147,0.49686
C118,C83,0.582439
C118,C135,0.489255
C118,C18,0.101996
C118,C159,0.064069
C118,C121,0.388408
C118,C133,0.341999
C118,C75,0.675041
C118,C84,0.336347
C118,C154,0.144853
C118,C101,0.448697
C118,C29,0.281523
C118,C153,0.408678
C118,C117,0.187957
C118,C152,0.408678
C118,C131,0.600291
C118,C14,0.515744
C118,C70,0.451868
C118,C81,0.656014
C118,C91,0.732865
C118,C27,0.453264
C118,C47,0.592823
C118,C66,0.568708
C118,C104,0.275684
C118,C86,0.354258
C118,C99,0.723108
C118,C141,0.302474
C118,C102,0.719113
C118,C148,0.527155
C118,C6,0.560467
C118,C63,0.38282
C118,C48,0.16165
C118,C68,0.354762
C118,C132,0.554267
C118,C95,0.563802
C118,C122,0.303476
C118,C28,0.356065
C118,C76,0.60789
C118,C130,0.050638
C118,C73,0.542756
C118,C165,0.166252
C118,C35,0.32706
C118,C150,0.304183
C118,C143,0.413154
C118,C113,0.094171
C118,C24,0.113562
C118,C67,0.743455
C118,C114,0.269934
C118,C103,0.448697
C118,C69,0.419444
C118,C108,0.057555
C118,C55,0.559447
C118,C116,0.269934
C118,C37,0.789432
C118,C144,0.492951
C118,C123,0.043241
C118,C88,0.774905
C118,C22,0.406312
C118,C94,0.460432
C118,C128,0.132479
C118,C125,0.296952
C118,C115,0.354296
C118,C89,0.37701
C118,C162,0.500855
C118,C93,0.414055
C118,C151,0.694661
C118,C146,0.110341
C118,C39,0.683869
C118,C31,0.110921
C118,C127,0.301452
C118,C155,0.144853
C118,C74,0.546317
C118,C62,0.104358
C118,C59,0.715842
C118,C97,0.62573
C118,C100,0.354475
C118,C71,0.546828
C118,C166,0.902344
C118,C65,0.192167
C118,C11,0.011866
C118,C134,0.524968
C118,C156,0.702835
C118,C10,0.507505
C85,C42,0.685623
C85,C139,0.255769
C85,C96,0.107829
C85,C7,0.651889
C85,C38,0.242182
C85,C129,0.793791
C85,C54,0.252629
C85,C87,0.029962
C85,C140,0.255769
C85,C157,0.949113
C85,C138,0.255769
C85,C158,0.126722
C85,C50,0.385446
C85,C79,0.604994
