Id,Label,betweenesscentrality,weighted degree,degree
C110,C110,0,7.987943,16
C105,C105,0,7.987943,16
C107,C107,0,7.987943,16
C109,C109,0,7.987943,16
C111,C111,0,7.987943,16
C139,C139,0,3.71591,8
C140,C140,0,3.71591,8
C78,C78,0,2.707107,3
C77,C77,0,2.707107,3
C114,C114,0.000996,3.696171,8
C116,C116,0.000996,3.696171,8
C138,C138,0,3.71591,8
C155,C155,0,3.664948,9
C154,C154,0,3.664948,9
C80,C80,0,2.707107,3
C103,C103,0,3.711391,8
C101,C101,0,3.711391,8
C137,C137,0,5.01253,10
C135,C135,0,5.01253,10
C153,C153,0,2.585038,6
C152,C152,0,2.585038,6
C133,C133,0.00343,6.366856,15
C117,C117,0,3.405777,5
C147,C147,0.000614,6.076184,16
C102,C102,0.000502,3.784839,13
C108,C108,0.001257,7.245842,19
C106,C106,0.000509,6.312221,19
C115,C115,0.002164,3.0801,8
C165,C165,0,1.673439,4
C148,C148,0,4.295844,11
C79,C79,0.03592,2.672044,6
C100,C100,0.00154,5.106556,20
C134,C134,0.0023,5.132125,18
C136,C136,0.001953,7.135325,22
C128,C128,0,3.951572,13
C127,C127,0.000952,4.8744,28
C113,C113,0.010517,4.877036,20
C151,C151,0,1.833379,6
C99,C99,0.00044,2.280605,14
C71,C71,0.004064,6.10894,27
C124,C124,0.001854,4.461167,20
C86,C86,0.000556,3.958282,21
C146,C146,0.001751,4.241571,17
C158,C158,0,0.850565,3
C120,C120,0.002228,6.353042,31
C161,C161,0,3.642245,15
C119,C119,0,2.035758,7
C123,C123,0.001602,4.588051,19
C58,C58,0.001201,5.626662,22
C159,C159,0.000493,3.819835,26
C162,C162,0.0024,1.870638,11
C163,C163,0,0.704124,2
C112,C112,0.001244,4.146236,27
C54,C54,0.000969,2.859529,14
C37,C37,0.00142,2.961919,23
C49,C49,0.002685,4.211997,24
C70,C70,0.003811,4.542535,29
C142,C142,0.000028,1.184406,6
C145,C145,0.001358,2.175348,18
C46,C46,0.0006,3.363817,21
C126,C126,0.020869,6.418338,51
C87,C87,0.004939,6.223409,37
C143,C143,0,0.874865,4
C92,C92,0.004303,4.324938,25
C132,C132,0.013907,6.477595,39
C72,C72,0.002665,4.023168,25
C144,C144,0.004074,4.510497,32
C74,C74,0.036688,8.692817,75
C73,C73,0.040332,9.412512,64
C166,C166,0.000118,1.935705,12
C27,C27,0.015274,8.133635,54
C41,C41,0.003653,3.202689,36
C129,C129,0,0.863527,5
C51,C51,0.000067,2.006661,13
C34,C34,0.00628,6.904183,46
C118,C118,0.000527,2.908024,20
C12,C12,0.001914,2.460059,19
C66,C66,0.004988,3.602253,27
C65,C65,0.000758,3.574575,22
C90,C90,0.000138,2.817189,15
C68,C68,0.004783,5.832782,46
C76,C76,0.002994,4.099994,32
C131,C131,0.005684,4.000751,33
C60,C60,0.01004,4.95626,46
C95,C95,0.00018,1.777205,9
C15,C15,0.019027,6.923421,68
C26,C26,0.002128,3.700581,35
C57,C57,0.004239,5.257117,45
C82,C82,0,0.713591,4
C157,C157,0.001719,2.987766,30
C56,C56,0,0.776167,4
C25,C25,0.008285,5.204809,38
C149,C149,0,1.594138,7
C42,C42,0.004384,2.210927,17
C67,C67,0.004424,3.513204,34
C156,C156,0,0.571241,3
C64,C64,0.00042,2.038289,18
C89,C89,0.000025,1.482455,9
C91,C91,0.005457,5.144153,40
