Id,Label,weighted degree
C110,C110,7.987943
C105,C105,7.987943
C107,C107,7.987943
C109,C109,7.987943
C111,C111,7.987943
C139,C139,3.71591
C140,C140,3.71591
C78,C78,2.707107
C77,C77,2.707107
C114,C114,3.696171
C116,C116,3.696171
C138,C138,3.71591
C155,C155,3.664948
C154,C154,3.664948
C80,C80,2.707107
C103,C103,3.711391
C101,C101,3.711391
C137,C137,5.01253
C135,C135,5.01253
C153,C153,2.585038
C152,C152,2.585038
C133,C133,6.366856
C117,C117,3.405777
C147,C147,6.076184
C102,C102,3.784839
C108,C108,7.245842
C106,C106,6.312221
C115,C115,3.0801
C165,C165,1.673439
C148,C148,4.295844
C79,C79,2.672044
C100,C100,5.106556
C134,C134,5.132125
C136,C136,7.135325
C128,C128,3.951572
C127,C127,4.8744
C113,C113,4.877036
C151,C151,1.833379
C99,C99,2.280605
C71,C71,6.10894
C124,C124,4.461167
C86,C86,3.958282
C146,C146,4.241571
C158,C158,0.850565
C120,C120,6.353042
C161,C161,3.642245
C119,C119,2.035758
C123,C123,4.588051
C58,C58,5.626662
C159,C159,3.819835
C162,C162,1.870638
C163,C163,0.704124
C112,C112,4.146236
C54,C54,2.859529
C37,C37,2.961919
C49,C49,4.211997
C70,C70,4.542535
C142,C142,1.184406
C145,C145,2.175348
C46,C46,3.363817
C126,C126,6.418338
C87,C87,6.223409
C143,C143,0.874865
C92,C92,4.324938
C132,C132,6.477595
C72,C72,4.023168
C144,C144,4.510497
C74,C74,8.692817
C73,C73,9.412512
C166,C166,1.935705
C27,C27,8.133635
C41,C41,3.202689
C129,C129,0.863527
C51,C51,2.006661
C34,C34,6.904183
C118,C118,2.908024
C12,C12,2.460059
C66,C66,3.602253
C65,C65,3.574575
C90,C90,2.817189
C68,C68,5.832782
C76,C76,4.099994
C131,C131,4.000751
C60,C60,4.95626
C95,C95,1.777205
C15,C15,6.923421
C26,C26,3.700581
C57,C57,5.257117
C82,C82,0.713591
C157,C157,2.987766
C56,C56,0.776167
C25,C25,5.204809
C149,C149,1.594138
C42,C42,2.210927
C67,C67,3.513204
C156,C156,0.571241
C64,C64,2.038289
C89,C89,1.482455
C91,C91,5.144153
C44,C44,3.065373
C83,C83,3.10165
C1,C1,8.168967
C18,C18,6.498846
C14,C14,7.176753
C31,C31,5.510712
C121,C121,1.458928
C125,C125,3.422358
C94,C94,0.859524
C53,C53,3.30158
C33,C33,7.202306
C63,C63,5.607773
C85,C85,2.367348
C48,C48,3.16927
C164,C164,1.512554
C104,C104,4.824657
C21,C21,5.323921
C2,C2,6.468371
C10,C10,4.911501
C11,C11,5.552761
C93,C93,8.370626
C23,C23,8.32808
C50,C50,1.887058
C30,C30,5.735924
C81,C81,5.856923
C8,C8,6.556973
C35,C35,4.994656
C38,C38,4.820527
C6,C6,4.462207
C88,C88,5.365643
C16,C16,4.493813
C59,C59,4.212586
C96,C96,3.191062
C55,C55,4.137087
C45,C45,1.35471
C9,C9,6.081415
C28,C28,3.678454
C43,C43,3.123633
C98,C98,3.205724
C29,C29,3.82395
C22,C22,6.392578
C52,C52,6.186452
C61,C61,1.717947
C17,C17,2.478049
C62,C62,4.254395
C32,C32,0.426732
C19,C19,2.504501
C150,C150,3.849473
C4,C4,4.912793
C39,C39,4.322036
C5,C5,1.915543
C3,C3,2.278494
C40,C40,3.934313
C20,C20,3.869047
C69,C69,2.499407
C130,C130,1.570842
C122,C122,3.317786
C24,C24,2.771095
C84,C84,5.025262
C7,C7,4.385774
C75,C75,3.499043
C47,C47,3.520241
C141,C141,1.310732
C13,C13,1.770162
C36,C36,1.596802
C97,C97,0.888259
C160,C160,1.745876
